parameter_type,parameter_value,n_items,capacity,capacity_factor,repeat,dp_value,dp_runtime,ga_value,ga_runtime,solution_quality
population_size,50.0,100,2404,0.5,0,4289.0,0.23091673851013184,4202,1.4742839336395264,0.9797155514105852
population_size,50.0,100,2556,0.5,1,,,4375,1.4920742511749268,1.0200512940079272
population_size,50.0,100,2519,0.5,2,,,3944,1.2821080684661865,0.9195616693868035
population_size,100.0,100,2365,0.5,0,4426.0,0.17930245399475098,4380,2.837118148803711,0.9896068685042928
population_size,100.0,100,2321,0.5,1,,,4220,2.6683132648468018,0.9534568459105287
population_size,100.0,100,2609,0.5,2,,,4394,2.8670618534088135,0.9927699954812472
population_size,200.0,100,2167,0.5,0,4233.0,0.2827305793762207,4210,5.366847515106201,0.9945665012993149
population_size,200.0,100,2578,0.5,1,,,4071,5.298030614852905,0.9617292700212615
population_size,200.0,100,2642,0.5,2,,,4288,5.676221609115601,1.0129931490668556
population_size,500.0,100,2244,0.5,0,4335.0,0.2865331172943115,4327,14.348347425460815,0.9981545559400231
population_size,500.0,100,2522,0.5,1,,,3866,15.166966438293457,0.8918108419838524
population_size,500.0,100,2593,0.5,2,,,3964,14.874592304229736,0.9144175317185698
mutation_rate,0.001,100,2385,0.5,0,4638.0,0.3112475872039795,4291,2.8879668712615967,0.9251832686502803
mutation_rate,0.001,100,2533,0.5,1,,,3474,2.731696128845215,0.7490297542043984
mutation_rate,0.001,100,2636,0.5,2,,,3796,2.6955301761627197,0.8184562311341095
mutation_rate,0.01,100,2595,0.5,0,3960.0,0.25078773498535156,3895,2.635053873062134,0.9835858585858586
mutation_rate,0.01,100,2556,0.5,1,,,4227,2.5807950496673584,1.0674242424242424
mutation_rate,0.01,100,2579,0.5,2,,,4013,2.742572546005249,1.0133838383838383
mutation_rate,0.05,100,2663,0.5,0,4118.0,0.2671933174133301,3861,2.7996249198913574,0.9375910636231181
mutation_rate,0.05,100,2477,0.5,1,,,3415,2.6840662956237793,0.8292860611947548
mutation_rate,0.05,100,2315,0.5,2,,,3675,2.639957904815674,0.8924235065565809
mutation_rate,0.1,100,2622,0.5,0,4262.0,0.336200475692749,3659,2.5512125492095947,0.858517128108869
mutation_rate,0.1,100,2522,0.5,1,,,3588,2.586653232574463,0.8418582824964805
mutation_rate,0.1,100,2742,0.5,2,,,3300,2.8151333332061768,0.7742843735335523
num_generations,50.0,100,2625,0.5,0,3995.0,0.3008451461791992,3831,0.7238478660583496,0.9589486858573216
num_generations,50.0,100,2578,0.5,1,,,3933,0.8521618843078613,0.9844806007509387
num_generations,50.0,100,2564,0.5,2,,,4037,0.6754467487335205,1.0105131414267834
num_generations,100.0,100,2473,0.5,0,4476.0,0.21314764022827148,4434,1.5020530223846436,0.9906166219839142
num_generations,100.0,100,2624,0.5,1,,,4391,1.3886244297027588,0.9810098302055407
num_generations,100.0,100,2450,0.5,2,,,3985,1.4247734546661377,0.8903038427167114
num_generations,200.0,100,2486,0.5,0,3861.0,0.33818650245666504,3844,2.6632609367370605,0.9955969955969955
num_generations,200.0,100,2526,0.5,1,,,4222,2.9213342666625977,1.0934990934990936
num_generations,200.0,100,2568,0.5,2,,,4292,2.5967092514038086,1.1116291116291117
num_generations,500.0,100,2460,0.5,0,3982.0,0.30197811126708984,3966,7.802975416183472,0.9959819186338523
num_generations,500.0,100,2636,0.5,1,,,3950,8.201056480407715,0.9919638372677047
num_generations,500.0,100,2415,0.5,2,,,3497,8.161211490631104,0.8782019085886489
